['C0', '4', '2.517767']
['C1', '4', '0.206838']
['C2', '4', '0.523994']
['C3', '3', '0.138131']
['C4', '4', '2.050099']
['C5', '2', '4.505985']
['E', 'N58', 'N17', '0.659704']
['E', 'N58', 'N38', '5.644620']
['E', 'N58', 'N46', '2.342099']
['E', 'N58', 'N57', '0.640666']
['E', 'N59', 'N33', '9.212267']
['E', 'N59', 'N47', '8.638214']
['E', 'N59', 'N54', '5.907229']
['E', 'N60', 'N19', '8.020050']
['E', 'N60', 'N45', '6.039816']
['E', 'N60', 'N51', '7.254540']
['E', 'N60', 'N52', '6.889629']
['E', 'N61', 'N15', '6.892030']
['E', 'N61', 'N53', '0.410009']
['E', 'N62', 'N33', '6.549628']
['E', 'N62', 'N52', '0.391414']
['E', 'N63', 'N5', '5.460528']
['E', 'N63', 'N26', '4.733274']
['E', 'N63', 'N54', '4.534340']
['E', 'N64', 'N19', '0.843819']
['E', 'N64', 'N37', '7.265830']
['E', 'N64', 'N42', '3.522951']
['E', 'N64', 'N53', '7.946626']
['E', 'N65', 'N11', '9.767103']
['E', 'N65', 'N26', '0.187283']
['E', 'N65', 'N28', '9.473427']
['E', 'N65', 'N42', '1.125955']
['E', 'N65', 'N58', '7.152643']
['E', 'N66', 'N25', '5.144326']
['E', 'N66', 'N33', '1.151717']
['E', 'N66', 'N34', '3.985951']
['E', 'N66', 'N43', '6.019075']
['E', 'N66', 'N44', '5.391747']
['E', 'N66', 'N64', '0.474262']
['E', 'N67', 'N5', '9.258365']
['E', 'N67', 'N18', '8.449628']
['E', 'N67', 'N36', '7.526932']
['E', 'N67', 'N53', '5.027616']
['E', 'N67', 'N56', '9.876720']
['E', 'N68', 'N23', '1.791201']
['E', 'N68', 'N42', '2.919278']
['E', 'N68', 'N49', '4.619911']
['E', 'N68', 'N53', '9.641352']
['E', 'N69', 'N5', '3.943969']
['E', 'N69', 'N43', '9.414121']
['E', 'N69', 'N58', '4.177159']
['E', 'N70', 'N11', '2.026623']
['E', 'N71', 'N33', '4.030647']
['E', 'N71', 'N38', '5.661281']
['E', 'N71', 'N39', '3.214715']
['E', 'N71', 'N58', '2.313475']
['E', 'N71', 'N59', '1.255528']
['E', 'N72', 'N1', '7.042743']
['E', 'N72', 'N17', '7.218981']
['E', 'N72', 'N36', '9.272598']
['E', 'N72', 'N51', '1.394294']
['E', 'N73', 'N8', '6.774646']
['E', 'N73', 'N20', '5.224304']
['E', 'N73', 'N25', '0.845900']
['E', 'N73', 'N58', '9.972651']
['E', 'N74', 'N6', '0.106051']
['E', 'N74', 'N17', '2.512474']
['E', 'N74', 'N18', '5.567873']
['E', 'N74', 'N48', '6.696172']
['E', 'N74', 'N52', '7.870852']
['E', 'N75', 'N0', '9.135763']
['E', 'N75', 'N45', '3.839503']
['E', 'N75', 'N49', '1.920528']
['E', 'N76', 'N16', '8.056079']
['E', 'N76', 'N33', '1.369092']
['E', 'N76', 'N44', '3.863294']
['E', 'N76', 'N51', '8.558169']
['E', 'N76', 'N54', '6.063258']
['E', 'N76', 'N56', '4.397270']
['E', 'N76', 'N59', '9.893914']
['E', 'N76', 'N62', '8.437799']
['E', 'N76', 'N70', '6.261298']
['E', 'N77', 'N23', '7.538775']
['E', 'N77', 'N25', '6.653256']
['E', 'N77', 'N31', '1.241867']
['E', 'N77', 'N74', '9.711025']
['E', 'N78', 'N8', '0.139191']
['E', 'N78', 'N11', '4.790990']
['E', 'N78', 'N17', '6.117812']
['E', 'N78', 'N60', '1.866940']
['E', 'N79', 'N2', '7.245581']
['E', 'N79', 'N15', '4.327884']
['E', 'N79', 'N36', '9.405851']
['E', 'N79', 'N64', '3.596101']
['E', 'N79', 'N74', '8.868588']
['E', 'N79', 'N76', '6.721092']
['E', 'N80', 'N37', '2.773795']
['E', 'N80', 'N71', '6.608024']
['E', 'N81', 'N9', '8.223309']
['E', 'N81', 'N20', '3.695199']
['E', 'N81', 'N31', '3.269895']
['E', 'N81', 'N56', '2.080938']
['E', 'N81', 'N62', '7.870713']
['E', 'N81', 'N65', '6.584589']
['E', 'N82', 'N14', '6.338243']
['E', 'N82', 'N40', '9.662357']
['E', 'N83', 'N7', '1.583866']
['E', 'N83', 'N13', '6.069078']
['E', 'N83', 'N29', '4.435017']
['E', 'N83', 'N34', '8.930782']
['E', 'N83', 'N62', '9.036616']
['E', 'N84', 'N23', '5.571430']
['E', 'N84', 'N25', '9.508177']
['E', 'N84', 'N30', '9.462944']
['E', 'N84', 'N45', '7.499552']
['E', 'N84', 'N49', '1.172830']
['E', 'N84', 'N74', '3.180644']
['E', 'N85', 'N0', '0.154224']
['E', 'N85', 'N7', '9.800274']
['E', 'N85', 'N13', '2.398303']
['E', 'N85', 'N68', '9.308808']
['E', 'N86', 'N27', '3.717257']
['E', 'N86', 'N35', '8.989189']
['E', 'N86', 'N51', '8.200375']
['E', 'N86', 'N58', '7.932999']
['E', 'N87', 'N3', '9.562076']
['E', 'N87', 'N5', '0.857183']
['E', 'N87', 'N22', '1.373363']
['E', 'N87', 'N40', '7.994997']
['E', 'N87', 'N43', '5.813633']
['E', 'N87', 'N52', '4.171225']
['E', 'N87', 'N64', '0.218935']
['E', 'N88', 'N1', '4.327578']
['E', 'N88', 'N11', '4.335708']
['E', 'N88', 'N25', '0.384919']
['E', 'N88', 'N85', '0.764888']
['E', 'N89', 'N1', '3.697697']
['E', 'N89', 'N6', '0.993856']
['E', 'N89', 'N23', '5.783708']
['E', 'N89', 'N54', '5.565273']
['E', 'N90', 'N37', '2.197752']
['E', 'N90', 'N38', '7.688889']
['E', 'N90', 'N55', '2.459526']
['E', 'N90', 'N59', '2.673574']
['E', 'N90', 'N66', '1.321993']
['E', 'N90', 'N73', '9.739738']
['E', 'N91', 'N6', '7.763484']
['E', 'N91', 'N9', '6.084879']
['E', 'N91', 'N19', '0.984888']
['E', 'N91', 'N31', '0.555559']
['E', 'N91', 'N32', '9.645931']
['E', 'N91', 'N41', '8.636385']
['E', 'N91', 'N65', '3.599852']
['E', 'N91', 'N77', '3.570755']
['E', 'N92', 'N36', '9.462998']
['E', 'N92', 'N61', '5.934788']
['E', 'N92', 'N87', '4.935116']
['E', 'N93', 'N4', '4.951179']
['E', 'N93', 'N27', '2.488009']
['E', 'N93', 'N31', '8.326683']
['E', 'N93', 'N32', '4.114676']
['E', 'N93', 'N43', '7.087324']
['E', 'N93', 'N57', '0.325329']
['E', 'N93', 'N62', '7.161357']
['E', 'N93', 'N83', '8.637537']
['E', 'N94', 'N23', '4.449485']
['E', 'N94', 'N40', '0.328616']
['E', 'N94', 'N75', '4.090100']
['E', 'N95', 'N31', '1.124185']
['E', 'N95', 'N50', '9.808323']
['E', 'N95', 'N55', '9.144441']
['E', 'N95', 'N61', '8.488895']
['E', 'N95', 'N72', '9.888535']
['E', 'N95', 'N75', '2.188549']
['E', 'N95', 'N77', '9.948751']
['E', 'N96', 'N39', '0.630079']
['E', 'N96', 'N68', '0.916294']
['E', 'N96', 'N70', '5.326071']
['E', 'N96', 'N72', '0.337760']
['E', 'N96', 'N84', '0.314598']
['E', 'N97', 'N14', '3.907421']
['E', 'N97', 'N22', '5.655962']
['E', 'N97', 'N34', '1.592107']
['E', 'N97', 'N53', '4.429349']
['E', 'N97', 'N79', '3.589387']
['E', 'N98', 'N34', '6.705235']
['E', 'N98', 'N56', '3.275805']
['E', 'N98', 'N71', '9.994355']
['E', 'N98', 'N73', '1.515218']
['E', 'N98', 'N84', '6.246646']
['E', 'N99', 'N6', '3.480497']
['E', 'N99', 'N32', '3.082794']
['E', 'N99', 'N40', '4.902306']
['E', 'N99', 'N51', '8.318789']
['E', 'N99', 'N63', '5.633543']
['E', 'N99', 'N64', '4.987786']
['E', 'N99', 'N79', '3.457612']
['E', 'N99', 'N80', '8.299690']
['E', 'N99', 'N92', '4.504748']
['E', 'EXIT', 'N57', '3.305799']
[]

{'C0': [4.0, 2.517767], 'C2': [4.0, 0.523994], 'C4': [4.0, 2.050099], 'C1': [4.0, 0.206838], 'C5': [2.0, 4.505985], 'C3': [3.0, 0.138131]}

{'S1': [8.0, ['C2', 'C3']], 'S2': [8.0, ['C4', 'C5']], 'S3': [3.0, []], 'S0': [8.0, ['C0', 'C1']], 'S4': [3.0, []]}

{'N27': {'N93': 2.488009, 'N86': 3.717257, 'N23': 8.855476, 'N25': 5.710444}, 'N0': {'N33': 7.147622, 'N85': 0.154224, 'N4': 7.954555, 'N43': 0.177113, 'N75': 9.135763, 'N39': 8.883694, 'N18': 0.085771, 'N16': 6.77533}, 'N69': {'N58': 4.177159, 'N43': 9.414121, 'N5': 3.943969}, 'N47': {'N45': 9.968109, 'N57': 0.615487, 'N6': 9.235324, 'N10': 6.347918, 'N59': 8.638214, 'N25': 0.377013, 'N26': 6.635921}, 'N28': {'N14': 8.633009, 'N65': 9.473427, 'N5': 0.184943, 'N31': 3.783581}, 'N17': {'N46': 4.292825, 'N58': 0.659704, 'N74': 2.512474, 'N78': 6.117812, 'N72': 7.218981}, 'N46': {'N17': 4.292825, 'N30': 7.458831, 'N58': 2.342099, 'N5': 0.794639}, 'N86': {'N58': 7.932999, 'N27': 3.717257, 'N35': 8.989189, 'N51': 8.200375}, 'N55': {'N7': 0.146988, 'N95': 9.144441, 'N49': 5.291729, 'N9': 8.712692, 'N90': 2.459526}, 'N11': {'N33': 9.023256, 'N88': 4.335708, 'N78': 4.79099, 'N65': 9.767103, 'N20': 9.984869, 'N70': 2.026623, 'N42': 2.92167}, 'N83': {'N7': 1.583866, 'N13': 6.069078, 'N29': 4.435017, 'N34': 8.930782, 'N93': 8.637537, 'N62': 9.036616}, 'N89': {'N54': 5.565273, 'N1': 3.697697, 'N6': 0.993856, 'N23': 5.783708}, 'N73': {'N98': 1.515218, 'N58': 9.972651, 'N8': 6.774646, 'N20': 5.224304, 'N90': 9.739738, 'N25': 0.8459}, 'N67': {'N36': 7.526932, 'N53': 5.027616, 'N18': 8.449628, 'N56': 9.87672, 'N5': 9.258365}, 'N10': {'N49': 5.901351, 'N47': 6.347918, 'S4': 7.770612}, 'N59': {'N71': 1.255528, 'N33': 9.212267, 'N90': 2.673574, 'N54': 5.907229, 'N47': 8.638214, 'N76': 9.893914}, 'N66': {'N33': 1.151717, 'N90': 1.321993, 'N34': 3.985951, 'N43': 6.019075, 'N64': 0.474262, 'N25': 5.144326, 'N44': 5.391747}, 'N18': {'N9': 0.582043, 'N0': 0.085771, 'N74': 5.567873, 'N67': 8.449628, 'N12': 3.089931, 'N16': 9.76385}, 'N99': {'N92': 4.504748, 'N79': 3.457612, 'N6': 3.480497, 'N40': 4.902306, 'N51': 8.318789, 'N63': 5.633543, 'N32': 3.082794, 'N80': 8.29969, 'N64': 4.987786}, 'N61': {'N95': 8.488895, 'N53': 0.410009, 'N15': 6.89203, 'N92': 5.934788}, 'N90': {'N38': 7.688889, 'N37': 2.197752, 'N59': 2.673574, 'N66': 1.321993, 'N73': 9.739738, 'N55': 2.459526}, 'N98': {'N71': 9.994355, 'N73': 1.515218, 'N84': 6.246646, 'N34': 6.705235, 'N56': 3.275805}, 'N29': {'N83': 4.435017}, 'N37': {'N45': 2.822697, 'N90': 2.197752, 'N34': 5.155381, 'N80': 2.773795, 'N64': 7.26583}, 'N40': {'N14': 4.680847, 'N94': 0.328616, 'N87': 7.994997, 'N32': 5.473233, 'N82': 9.662357, 'N99': 4.902306}, 'N41': {'N91': 8.636385, 'N34': 7.025129}, 'N16': {'N24': 2.904189, 'N0': 6.77533, 'N21': 7.141779, 'N15': 4.691219, 'N18': 9.76385, 'N76': 8.056079}, 'N12': {'N21': 9.636663, 'N18': 3.089931, 'N34': 4.051759, 'N50': 9.159398, 'N48': 0.19565}, 'N22': {'N21': 9.3402, 'N87': 1.373363, 'N9': 8.24334, 'N97': 5.655962, 'N2': 7.811377}, 'N49': {'N33': 8.79682, 'N75': 1.920528, 'N10': 5.901351, 'N68': 4.619911, 'N84': 1.17283, 'N1': 2.373131, 'N23': 2.868118, 'N55': 5.291729}, 'N57': {'N58': 0.640666, 'N8': 3.774335, 'N93': 0.325329, 'N50': 2.017468, 'N20': 4.947046, 'EXIT': 3.305799, 'N47': 0.615487}, 'N62': {'N33': 6.549628, 'N93': 7.161357, 'N52': 0.391414, 'N81': 7.870713, 'N83': 9.036616, 'N76': 8.437799}, 'N75': {'N45': 3.839503, 'N94': 4.0901, 'N49': 1.920528, 'N0': 9.135763, 'N95': 2.188549}, 'N26': {'N63': 4.733274, 'N65': 0.187283, 'N47': 6.635921}, 'N65': {'N11': 9.767103, 'N91': 3.599852, 'N58': 7.152643, 'N28': 9.473427, 'N81': 6.584589, 'N26': 0.187283, 'N42': 1.125955}, 'N71': {'N33': 4.030647, 'N58': 2.313475, 'N98': 9.994355, 'N38': 5.661281, 'N59': 1.255528, 'N39': 3.214715, 'N80': 6.608024}, 'N31': {'N52': 8.912775, 'N95': 1.124185, 'N38': 7.665225, 'N34': 8.778753, 'N93': 8.326683, 'N91': 0.555559, 'N28': 3.783581, 'N32': 2.739198, 'N77': 1.241867, 'N81': 3.269895}, 'N85': {'N7': 9.800274, 'N13': 2.398303, 'N88': 0.764888, 'N0': 0.154224, 'N68': 9.308808}, 'N38': {'N71': 5.661281, 'N31': 7.665225, 'N58': 5.64462, 'N4': 6.095064, 'N34': 8.083095, 'N36': 0.071186, 'N30': 0.969044, 'N90': 7.688889, 'N2': 3.65569}, 'N34': {'N31': 8.778753, 'N38': 8.083095, 'N37': 5.155381, 'N98': 6.705235, 'N41': 7.025129, 'N12': 4.051759, 'N7': 7.270779, 'N14': 9.840189, 'N97': 1.592107, 'N66': 3.985951, 'N83': 8.930782, 'N56': 5.408896}, 'N3': {'N52': 2.532264, 'N58': 5.900428, 'N87': 9.562076}, 'N35': {'N53': 5.364113, 'N86': 8.989189}, 'N74': {'N52': 7.870852, 'N79': 8.868588, 'N84': 3.180644, 'N6': 0.106051, 'N17': 2.512474, 'N18': 5.567873, 'N48': 6.696172, 'N77': 9.711025}, 'N80': {'N71': 6.608024, 'N37': 2.773795, 'N99': 8.29969}, 'N7': {'N85': 9.800274, 'N83': 1.583866, 'N4': 9.5944, 'N34': 7.270779, 'N55': 0.146988}, 'N14': {'N34': 9.840189, 'N40': 4.680847, 'N97': 3.907421, 'N54': 7.664916, 'N28': 8.633009, 'N82': 6.338243, 'N25': 8.673063}, 'N6': {'N33': 2.6393, 'N99': 3.480497, 'N89': 0.993856, 'N52': 8.797619, 'N91': 7.763484, 'N19': 8.42879, 'N74': 0.106051, 'N47': 9.235324}, 'S1': {'N95': 2.700749}, 'N53': {'N61': 0.410009, 'N68': 9.641352, 'N42': 3.363593, 'N35': 5.364113, 'N67': 5.027616, 'N97': 4.429349, 'N64': 7.946626}, 'N94': {'N75': 4.0901, 'N23': 4.449485, 'N40': 0.328616}, 'N21': {'N16': 7.141779, 'N12': 9.636663, 'N22': 9.3402}, 'S3': {'N9': 6.026774}, 'N9': {'N91': 6.084879, 'N51': 4.300816, 'N81': 8.223309, 'S3': 6.026774, 'N18': 0.582043, 'N2': 2.735664, 'N55': 8.712692, 'N22': 8.24334}, 'N54': {'N14': 7.664916, 'N33': 6.398634, 'N8': 2.245606, 'N89': 5.565273, 'N59': 5.907229, 'N63': 4.53434, 'N76': 6.063258}, 'N36': {'N38': 0.071186, 'N79': 9.405851, 'N72': 9.272598, 'N67': 7.526932, 'N25': 7.566581, 'N92': 9.462998}, 'N32': {'N31': 2.739198, 'N93': 4.114676, 'N40': 5.473233, 'N20': 4.663257, 'N91': 9.645931, 'N51': 1.547245, 'N15': 8.800141, 'N25': 2.104335, 'N99': 3.082794}, 'N2': {'N45': 1.096087, 'N9': 2.735664, 'N38': 3.65569, 'N79': 7.245581, 'N1': 0.635083, 'N39': 3.282109, 'N22': 7.811377}, 'N64': {'N99': 4.987786, 'N79': 3.596101, 'N37': 7.26583, 'N19': 0.843819, 'N66': 0.474262, 'N87': 0.218935, 'N53': 7.946626, 'N42': 3.522951}, 'N97': {'N79': 3.589387, 'N14': 3.907421, 'N53': 4.429349, 'N34': 1.592107, 'N22': 5.655962}, 'N52': {'N31': 8.912775, 'N6': 8.797619, 'N3': 2.532264, 'N87': 4.171225, 'N74': 7.870852, 'N60': 6.889629, 'N62': 0.391414}, 'N58': {'N71': 2.313475, 'N73': 9.972651, 'N38': 5.64462, 'N57': 0.640666, 'N3': 5.900428, 'N17': 0.659704, 'N46': 2.342099, 'N86': 7.932999, 'N65': 7.152643, 'N69': 4.177159}, 'N4': {'N7': 9.5944, 'N38': 6.095064, 'N93': 4.951179, 'N0': 7.954555}, 'N78': {'N17': 6.117812, 'N8': 0.139191, 'N60': 1.86694, 'N11': 4.79099}, 'N91': {'N31': 0.555559, 'N9': 6.084879, 'N6': 7.763484, 'N65': 3.599852, 'N32': 9.645931, 'N41': 8.636385, 'N77': 3.570755, 'N19': 0.984888}, 'N87': {'N52': 4.171225, 'N43': 5.813633, 'N40': 7.994997, 'N3': 9.562076, 'N5': 0.857183, 'N64': 0.218935, 'N92': 4.935116, 'N22': 1.373363}, 'N81': {'N31': 3.269895, 'N9': 8.223309, 'N56': 2.080938, 'N20': 3.695199, 'N65': 6.584589, 'N62': 7.870713}, 'N60': {'N45': 6.039816, 'N51': 7.25454, 'N78': 1.86694, 'N52': 6.889629, 'N19': 8.02005}, 'S4': {'N10': 7.770612}, 'N24': {'N16': 2.904189, 'N51': 8.834176}, 'N84': {'N45': 7.499552, 'N49': 1.17283, 'N98': 6.246646, 'N96': 0.314598, 'N30': 9.462944, 'N23': 5.57143, 'N25': 9.508177, 'N74': 3.180644}, 'N92': {'N61': 5.934788, 'N36': 9.462998, 'N99': 4.504748, 'N87': 4.935116}, 'N51': {'N13': 1.622129, 'N99': 8.318789, 'N24': 8.834176, 'N9': 4.300816, 'N72': 1.394294, 'N32': 1.547245, 'N76': 8.558169, 'N86': 8.200375, 'N60': 7.25454, 'N42': 1.647542}, 'N30': {'N46': 7.458831, 'N84': 9.462944, 'N38': 0.969044, 'N42': 5.219146}, 'N44': {'N66': 5.391747, 'N45': 3.547004, 'N76': 3.863294}, 'N39': {'N71': 3.214715, 'N45': 0.705351, 'N0': 8.883694, 'N96': 0.630079, 'N23': 8.107643, 'N2': 3.282109}, 'N33': {'N71': 4.030647, 'N56': 5.922602, 'N20': 0.206155, 'N76': 1.369092, 'N54': 6.398634, 'N49': 8.79682, 'N6': 2.6393, 'N0': 7.147622, 'N59': 9.212267, 'N66': 1.151717, 'N11': 9.023256, 'N62': 6.549628}, 'N43': {'N93': 7.087324, 'N0': 0.177113, 'N87': 5.813633, 'N66': 6.019075, 'N69': 9.414121, 'N20': 9.5839}, 'N96': {'N72': 0.33776, 'N84': 0.314598, 'N39': 0.630079, 'N70': 5.326071, 'N68': 0.916294}, 'N88': {'N1': 4.327578, 'N85': 0.764888, 'N25': 0.384919, 'N11': 4.335708}, 'N68': {'N49': 4.619911, 'N96': 0.916294, 'N53': 9.641352, 'N85': 9.308808, 'N23': 1.791201, 'N42': 2.919278}, 'N82': {'N14': 6.338243, 'S2': 5.27429, 'N40': 9.662357}, 'N25': {'N14': 8.673063, 'N27': 5.710444, 'N84': 9.508177, 'N66': 5.144326, 'N36': 7.566581, 'N32': 2.104335, 'N73': 0.8459, 'N77': 6.653256, 'N88': 0.384919, 'N47': 0.377013}, 'N23': {'N27': 8.855476, 'N49': 2.868118, 'N84': 5.57143, 'N89': 5.783708, 'N68': 1.791201, 'N94': 4.449485, 'N39': 8.107643, 'N77': 7.538775}, 'N13': {'N83': 6.069078, 'N85': 2.398303, 'S0': 0.136841, 'N51': 1.622129}, 'N95': {'N61': 8.488895, 'N31': 1.124185, 'N75': 2.188549, 'N50': 9.808323, 'N72': 9.888535, 'S1': 2.700749, 'N55': 9.144441, 'N77': 9.948751}, 'EXIT': {'N57': 3.305799}, 'S2': {'N82': 5.27429}, 'N70': {'N76': 6.261298, 'N96': 5.326071, 'N11': 2.026623}, 'N50': {'N95': 9.808323, 'N57': 2.017468, 'N12': 9.159398, 'N20': 9.871463}, 'N1': {'N72': 7.042743, 'N49': 2.373131, 'N88': 4.327578, 'N89': 3.697697, 'N2': 0.635083}, 'N93': {'N31': 8.326683, 'N27': 2.488009, 'N4': 4.951179, 'N43': 7.087324, 'N57': 0.325329, 'N32': 4.114676, 'N83': 8.637537, 'N62': 7.161357}, 'N77': {'N31': 1.241867, 'N95': 9.948751, 'N91': 3.570755, 'N23': 7.538775, 'N25': 6.653256, 'N74': 9.711025}, 'N19': {'N91': 0.984888, 'N64': 0.843819, 'N6': 8.42879, 'N60': 8.02005}, 'N76': {'N33': 1.369092, 'N79': 6.721092, 'N56': 4.39727, 'N51': 8.558169, 'N54': 6.063258, 'N59': 9.893914, 'N70': 6.261298, 'N16': 8.056079, 'N62': 8.437799, 'N44': 3.863294}, 'N8': {'N54': 2.245606, 'N73': 6.774646, 'N78': 0.139191, 'N57': 3.774335}, 'N79': {'N99': 3.457612, 'N76': 6.721092, 'N97': 3.589387, 'N36': 9.405851, 'N2': 7.245581, 'N15': 4.327884, 'N74': 8.868588, 'N64': 3.596101}, 'N20': {'N33': 0.206155, 'N57': 4.947046, 'N43': 9.5839, 'N50': 9.871463, 'N32': 4.663257, 'N73': 5.224304, 'N15': 6.667694, 'N81': 3.695199, 'N11': 9.984869}, 'N72': {'N95': 9.888535, 'N96': 0.33776, 'N51': 1.394294, 'N17': 7.218981, 'N36': 9.272598, 'N1': 7.042743}, 'N48': {'N74': 6.696172, 'N12': 0.19565}, 'S0': {'N13': 0.136841}, 'N42': {'N11': 2.92167, 'N68': 2.919278, 'N51': 1.647542, 'N30': 5.219146, 'N53': 3.363593, 'N65': 1.125955, 'N64': 3.522951}, 'N45': {'N84': 7.499552, 'N75': 3.839503, 'N37': 2.822697, 'N60': 6.039816, 'N44': 3.547004, 'N39': 0.705351, 'N2': 1.096087, 'N47': 9.968109}, 'N5': {'N69': 3.943969, 'N63': 5.460528, 'N28': 0.184943, 'N87': 0.857183, 'N46': 0.794639, 'N67': 9.258365}, 'N63': {'N54': 4.53434, 'N99': 5.633543, 'N5': 5.460528, 'N26': 4.733274}, 'N15': {'N61': 6.89203, 'N32': 8.800141, 'N79': 4.327884, 'N16': 4.691219, 'N20': 6.667694}, 'N56': {'N33': 5.922602, 'N34': 5.408896, 'N98': 3.275805, 'N81': 2.080938, 'N67': 9.87672, 'N76': 4.39727}}

['EXIT', '', 0]
Action: []

Open List:
----------------------
----------------------

Closed List:
----------------------
['EXIT', '', 0]
----------------------
MOVE {'S1': [7.0, ['C2', 'C3']], 'S2': [6.0, ['C4', 'C5']], 'S3': [0, []], 'S0': [8.0, ['C0', 'C1']], 'S4': [0, []]}

['N57', '', 0]
Action: ['move', 'EXIT', 'N57', 3.305799]

Open List:
----------------------
----------------------

Closed List:
----------------------
['EXIT', '', 0]
['N57', '', 0]
----------------------
MOVE {'S1': [7.0, ['C2', 'C3']], 'S2': [6.0, ['C4', 'C5']], 'S3': [0, []], 'S0': [8.0, ['C0', 'C1']], 'S4': [0, []]}
MOVE {'S1': [7.0, ['C2', 'C3']], 'S2': [6.0, ['C4', 'C5']], 'S3': [0, []], 'S0': [8.0, ['C0', 'C1']], 'S4': [0, []]}
